,#,Company,Symbol,Weight,Price,Chg,% Chg
0,1,Apple Inc.,AAPL,6.178143,131.69,-0.17,(-0.13%)
1,2,Microsoft Corporation,MSFT,5.547816,238.3,-0.43,(-0.18%)
2,3,Amazon.com Inc.,AMZN,2.323611,85.06,-0.19,(-0.22%)
3,4,Berkshire Hathaway Inc. Class B,BRK.B,1.703989,306.66,0.17,(0.06%)
4,5,Alphabet Inc. Class A,GOOGL,1.637838,89.05,-0.18,(-0.20%)
5,6,UnitedHealth Group Incorporated,UNH,1.538774,531.31,0.0,(0.00%)
6,7,Alphabet Inc. Class C,GOOG,1.460146,89.65,-0.17,(-0.18%)
7,8,Johnson & Johnson,JNJ,1.447726,177.48,0.0,(0.00%)
8,9,Exxon Mobil Corporation,XOM,1.362425,108.68,0.0,(0.00%)
9,10,JPMorgan Chase & Co.,JPM,1.197475,131.27,-0.01,(-0.01%)
10,11,NVIDIA Corporation,NVDA,1.194685,151.85,-0.21,(-0.14%)
11,12,Procter & Gamble Company,PG,1.126838,152.62,0.0,(0.00%)
12,13,Tesla Inc,TSLA,1.051243,122.19,-0.96,(-0.78%)
13,14,Visa Inc. Class A,V,1.047573,206.0,0.17,(0.08%)
14,15,Home Depot Inc.,HD,1.010585,318.73,0.0,(0.00%)
15,16,Chevron Corporation,CVX,0.956479,177.4,0.0,(0.00%)
16,17,Mastercard Incorporated Class A,MA,0.906318,344.0,0.4,(0.12%)
17,18,Pfizer Inc.,PFE,0.905706,51.83,0.0,(0.00%)
18,19,AbbVie Inc.,ABBV,0.902168,163.85,0.75,(0.46%)
19,20,Eli Lilly and Company,LLY,0.900175,367.0,-0.9,(-0.24%)
20,21,Merck & Co. Inc.,MRK,0.881228,111.6,-0.26,(-0.23%)
21,22,Meta Platforms Inc. Class A,META,0.822884,118.16,0.12,(0.10%)
22,23,PepsiCo Inc.,PEP,0.779531,182.48,0.22,(0.12%)
23,24,Coca-Cola Company,KO,0.770264,63.75,-0.07,(-0.11%)
24,25,Bank of America Corp,BAC,0.706346,32.4,-0.07,(-0.22%)
25,26,Broadcom Inc.,AVGO,0.699914,552.9,0.47,(0.09%)
26,27,Thermo Fisher Scientific Inc.,TMO,0.660668,540.68,0.0,(0.00%)
27,28,Costco Wholesale Corporation,COST,0.634364,462.98,0.33,(0.07%)
28,29,Walmart Inc.,WMT,0.632738,143.77,0.0,(0.00%)
29,30,McDonald's Corporation,MCD,0.608057,268.0,0.43,(0.16%)
30,31,Cisco Systems Inc.,CSCO,0.607075,47.48,0.0,(0.00%)
31,32,Abbott Laboratories,ABT,0.588324,107.95,-0.23,(-0.21%)
