,Symbol
0,AAPL
1,MSFT
2,AMZN
3,BRK.B
4,GOOGL
5,UNH
6,GOOG
7,JNJ
8,XOM
9,JPM
10,NVDA
11,PG
12,V
13,TSLA
14,HD
15,CVX
16,MA
17,LLY
18,PFE
19,ABBV
20,MRK
21,META
22,PEP
23,KO
24,BAC
25,AVGO
26,TMO
27,COST
28,WMT
29,CSCO
30,MCD
31,ABT
32,DHR
33,ACN
34,NEE
35,VZ
36,LIN
37,DIS
38,WFC
39,ADBE
40,PM
41,BMY
42,CMCSA
43,TXN
44,RTX
45,NKE
46,COP
47,HON
48,AMGN
49,CRM
50,NFLX
51,T
52,IBM
53,UNP
54,SCHW
55,UPS
56,ORCL
57,CAT
58,LOW
59,QCOM
60,ELV
61,CVS
62,DE
63,GS
64,SBUX
65,LMT
66,MS
67,SPGI
68,INTU
69,INTC
70,GILD
71,BA
72,BLK
73,AMD
74,PLD
75,MDT
76,CI
77,ADP
78,AMT
79,ISRG
80,TJX
81,CB
82,GE
83,MDLZ
84,AXP
85,C
86,ADI
87,TMUS
88,AMAT
89,MMC
90,MO
91,SYK
92,PYPL
93,DUK
94,NOC
95,BKNG
96,NOW
97,SO
98,REGN
99,EOG
100,PGR
101,SLB
102,VRTX
103,BDX
104,TGT
105,APD
106,ZTS
107,MMM
108,BSX
109,CL
110,CSX
111,HUM
112,FISV
113,PNC
114,ETN
115,AON
116,ITW
117,EQIX
118,CME
119,MRNA
120,WM
121,USB
122,CCI
123,LRCX
124,EL
125,TFC
126,NSC
127,ICE
128,EMR
129,SHW
130,DG
131,GD
132,MPC
133,MU
134,PXD
135,ATVI
136,FCX
137,MCK
138,KLAC
139,ORLY
140,HCA
141,ADM
142,D
143,GIS
144,PSX
145,VLO
146,AEP
147,SRE
148,SNPS
149,MET
150,GM
151,AIG
152,AZO
153,CNC
154,EW
155,ROP
156,OXY
157,F
158,KMB
159,APH
160,A
161,TRV
162,DXCM
163,PSA
164,JCI
165,CDNS
166,MCO
167,MSI
168,EXC
169,CTVA
170,FDX
171,NXPI
172,AFL
173,ROST
174,ADSK
175,FIS
176,DVN
177,MAR
178,BIIB
179,WMB
180,O
181,LHX
182,AJG
183,HES
184,MNST
185,TT
186,SYY
187,CTAS
188,MCHP
189,XEL
190,CMG
191,SPG
192,IQV
193,STZ
194,MSCI
195,NEM
196,PH
197,PAYX
198,PRU
199,TEL
200,ALL
201,CHTR
202,YUM
203,DOW
204,ECL
205,ENPH
206,HAL
207,KMI
208,COF
209,CARR
210,HLT
211,PCAR
212,NUE
213,DD
214,CMI
215,HSY
216,IDXX
217,ED
218,AMP
219,BK
220,OTIS
221,MTD
222,TDG
223,KHC
224,EA
225,FTNT
226,AME
227,ILMN
228,CSGP
229,VICI
230,WELL
231,KEYS
232,PEG
233,RMD
234,KDP
235,SBAC
236,ANET
237,BKR
238,DLTR
239,WEC
240,ROK
241,CTSH
242,PPG
243,OKE
244,KR
245,ES
246,DLR
247,STT
248,CEG
249,DHI
250,AWK
251,VRSK
252,GPN
253,ON
254,FAST
255,ABC
256,WBA
257,WTW
258,ZBH
259,IFF
260,DFS
261,IT
262,RSG
263,PCG
264,CPRT
265,ODFL
266,BAX
